probe set	gene
AFFX-MurIL2_at	interleukin 2
AFFX-MurIL10_at	interleukin 10
AFFX-MurIL4_at	interleukin 4
AFFX-MurFAS_at	tumor necrosis factor receptor superfamily, member 6
AFFX-BioB-5_at	 J04423 E coli bioB gene biotin synthetase  (-5, -M, -3 represent transcript regions 5 prime, Middle, and 3 prime respectively) 
AFFX-BioB-M_at	 J04423 E coli bioB gene biotin synthetase  (-5, -M, -3 represent transcript regions 5 prime, Middle, and 3 prime respectively) 
AFFX-BioB-3_at	 J04423 E coli bioB gene biotin synthetase  (-5, -M, -3 represent transcript regions 5 prime, Middle, and 3 prime respectively) 
AFFX-BioC-5_at	J04423 E coli bioC protein  (-5 and -3 represent transcript regions 5 prime and 3 prime respectively)
AFFX-BioC-3_at	J04423 E coli bioC protein  (-5 and -3 represent transcript regions 5 prime and 3 prime respectively)
AFFX-BioDn-5_at	J04423 E coli bioD gene dethiobiotin synthetase  (-5 and -3 represent transcript regions 5 prime and 3 prime respectively)
AFFX-BioDn-3_at	J04423 E coli bioD gene dethiobiotin synthetase  (-5 and -3 represent transcript regions 5 prime and 3 prime respectively)
AFFX-CreX-5_at	X03453 Bacteriophage P1 cre recombinase protein  (-5 and -3 represent transcript regions 5 prime and 3 prime respectively)
AFFX-CreX-3_at	X03453 Bacteriophage P1 cre recombinase protein  (-5 and -3 represent transcript regions 5 prime and 3 prime respectively)
AFFX-BioB-5_st	 J04423 E coli bioB gene biotin synthetase  (-5, -M, -3 represent transcript regions 5 prime, Middle, and 3 prime respectively) 
AFFX-BioB-M_st	 J04423 E coli bioB gene biotin synthetase  (-5, -M, -3 represent transcript regions 5 prime, Middle, and 3 prime respectively) 
AFFX-BioB-3_st	 J04423 E coli bioB gene biotin synthetase  (-5, -M, -3 represent transcript regions 5 prime, Middle, and 3 prime respectively) 
AFFX-BioC-5_st	J04423 E coli bioC protein  (-5 and -3 represent transcript regions 5 prime and 3 prime respectively)
AFFX-BioC-3_st	J04423 E coli bioC protein  (-5 and -3 represent transcript regions 5 prime and 3 prime respectively)
AFFX-BioDn-5_st	J04423 E coli bioD gene dethiobiotin synthetase  (-5 and -3 represent transcript regions 5 prime and 3 prime respectively)
AFFX-BioDn-3_st	J04423 E coli bioD gene dethiobiotin synthetase  (-5 and -3 represent transcript regions 5 prime and 3 prime respectively)
AFFX-CreX-5_st	X03453 Bacteriophage P1 cre recombinase protein  (-5 and -3 represent transcript regions 5 prime and 3 prime respectively)
AFFX-CreX-3_st	X03453 Bacteriophage P1 cre recombinase protein  (-5 and -3 represent transcript regions 5 prime and 3 prime respectively)
AFFX-hum_alu_at	U14573 Human Alu-Sq subfamily consensus sequence.
AFFX-DapX-5_at	 L38424 B subtilis dapB, jojF, jojG genes corresponding to nucleotides 1358-3197 of L38424 (-5, -M, -3 represent transcript regions 5 prime, Middle, and 3 prime respectively) 
